"","id","point_type","lat","long","description","start","end","last_modified","road_closed","severity"
"35","143043537171612320","Point","48.845821","2.36764","Entre Avenue Ledru-Rollin et Pont d'Austerlitz - Travaux sur tronçon.","/Date(1423819114000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"36","2167260875743953152","Point","48.975693","2.240812","Entre A115 et 5.1 - Incident.","/Date(1424518486000)/","/Date(1424523923000)/","/Date(1424519104000)/","FALSE","2"
"37","3645511876135321088","Point","48.894772","2.3133","À Porte de Clichy / Avenue de la Porte de Clichy - Travaux sur tronçon.","/Date(1401726430000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"38","1302225138404290048","Point","48.851494","2.345891","Entre Rue de la Parcheminerie et Rue Soufflot - Travaux sur tronçon.","/Date(1422804253000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"39","3559463074629058560","Point","48.89872","2.35906","Entre Boulevard Ney et  - Travaux sur tronçon.","/Date(1393598605000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"40","3330700010014005248","Point","48.897938","2.3443","Entre  et Boulevard Bessières - Travaux sur tronçon.","/Date(1393598605000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"41","2398540869921383936","Point","48.48831","2.51273","Entre Saint-Fargeau - Ponthierry et Péage de Fleury - Travaux sur tronçon. Voie de gauche fermée.","/Date(1412692620000)/","/Date(1443621600000)/","/Date(1424482934000)/","FALSE","2"
"42","776355982687035648","Point","48.828918","2.33116","Entre Rue du Commandeur / Rue de Bigorre et Rue Bezout - Travaux sur tronçon.","/Date(1406899397000)/","/Date(1424523924000)/","/Date(1424236151000)/","FALSE","2"
"43","4500373213332312576","Point","48.82785","2.32701","Entre Rue d'Alésia et Avenue du Général Leclerc / Boulevard Saint-Jacques - Travaux sur tronçon.","/Date(1393599934000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"44","784047896851237504","Point","48.821449","2.3695","Entre Boulevard Masséna et Porte d'Ivry - Travaux sur tronçon.","/Date(1413784429000)/","/Date(1424523924000)/","/Date(1424236151000)/","FALSE","2"
"45","4387256359686492672","Point","48.88385","2.34947","À Rue Marcadet - Travaux sur tronçon.","/Date(1402897588000)/","/Date(1424523923000)/","/Date(1424236150000)/","FALSE","2"
"46","3667784640340313088","Point","48.78281","2.03185","Entre Avenue Paul Vaillant-Couturier et Échangeur de Saint-Quentin-en-Yvelines - Incident.","/Date(1424510622000)/","/Date(1424523923000)/","/Date(1424511560000)/","FALSE","2"
"47","1234148659118473984","Point","48.894253","2.313318","Entre Boulevard Berthier et Rue de l'Abbé Rousselot - Travaux sur tronçon.","/Date(1393598605000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"48","4324670621114168320","Point","48.897938","2.3443","Entre  et Rue du Pré / Impasse du Gué - Travaux sur tronçon.","/Date(1393598605000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"49","1750937012616895744","Point","48.8736","2.32731","Entre Rue de Caumartin / Rue des Mathurins et Place de l'Opéra - Travaux sur tronçon.","/Date(1417460064000)/","/Date(1424523924000)/","/Date(1424236151000)/","FALSE","2"
"50","4426405432789076992","Point","48.834141","2.2772","À Boulevard Victor / Avenue de la Porte de Sèvres - Travaux sur tronçon.","/Date(1401725446000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
"51","222312888031131296","Point","48.897621","2.328414","Entre Boulevard Bessières et Boulevard Berthier - Travaux sur tronçon.","/Date(1393598605000)/","/Date(1424523923000)/","/Date(1424236151000)/","FALSE","2"
