idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1388396196672,66413fafe456f8048bba70cba951ebdb78bff247,1395635674198,1395635674096,102,37.5123,-6.02722,1024,8,2359296,"novero GmbH"
1388396196672,ef264df8a68f95bcd80980840199835b25eeeb61,1395638615489,1395638615387,102,37.5123,-6.02722,512,12,5898240,"Clipcomm Inc."
1388396196672,92a2aa9b250d5fe1f7e7874e087a7770187433a9,1395640972645,1395640972543,102,37.5123,-6.02722,1024,8,3145728,"Parrot SA"
1388396196672,2780cd25cfc0b378067cfe0f91e5862618ae70e1,1395644788272,1395644788170,102,37.5123,-6.02722,1024,8,3145728,"PARROT S.A."
1388396196672,f9cf704c8ae33c124cc196ec9d8e6599acb18fa0,1395646307596,1395646307494,102,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,e60f00662c963ea3bf9e91394ad4d3cad5bd1b75,1395648817389,1395648817287,102,37.5123,-6.02722,512,12,5898240,null
1388396196672,dd0380dfdd1600b86138d2d82bb9267a466cc31c,1395648957942,1395648957840,102,37.5123,-6.02722,512,4,5898240,null
1388396196672,2483e82c074cf3f08bb5504b002ffb340f6d92eb,1395649839638,1395649839536,102,37.5123,-6.02722,512,4,5898240,null
1388396196672,fa1d502cfd0771be7725391851fed57ae82b73d2,1395649862653,1395649851069,11584,37.5123,-6.02722,512,12,5767168,null
1388396196672,90ce153a5c258cb1f19b1b760a1b69f7a10bb163,1395650035872,1395650000161,35711,37.5123,-6.02722,512,4,5373952,"Nokia Danmark A/S"
1388396196672,a6f99d28039e4d52afe6648e433479f8d4fbf8cb,1395650152926,1395650152824,102,37.5123,-6.02722,512,4,5898240,null
1388396196672,d92a6fca927483077c3c64710fc0d040caeb29cf,1395651225543,1395651213944,11599,37.5123,-6.02722,512,4,5242880,"Samsung Electronics Co.Ltd"
1388396196672,022f2dd89425c16b3f749e348fb1ec1f12260289,1395651287370,1395651287268,102,37.5123,-6.02722,1024,8,2359296,"Parrot SA"
1388396196672,5bd0b5c58cb07dc560d3b7725c24d34fdb1fd411,1395651767466,1395651767364,102,37.5123,-6.02722,1024,8,3145728,"Parrot SA"
1388396196672,abf9b4dead6ca5a0f896d04ecdaaa4680fa30634,1395651928648,1395651928546,102,37.5123,-6.02722,1024,4,2097152,"ATO Technology Ltd."
1388396196672,66413fafe456f8048bba70cba951ebdb78bff247,1395652550550,1395652550448,102,37.5123,-6.02722,1024,8,2359296,"novero GmbH"
1388396196672,4c788a7272755e70e86b2c521c3b3b263fcc873b,1395652562039,1395652561937,102,37.5123,-6.02722,512,4,5898240,null
1388396196672,d92a6fca927483077c3c64710fc0d040caeb29cf,1395653419104,1395653406535,12569,37.5123,-6.02722,512,4,5242880,"Samsung Electronics Co.Ltd"
1388396196672,dd0380dfdd1600b86138d2d82bb9267a466cc31c,1395655069011,1395654963151,105860,37.5123,-6.02722,512,4,5898240,null
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395655278954,1395655193915,85039,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395655895382,1395655895279,103,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395655995200,1395655995097,103,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395656106347,1395656082159,24188,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,960575a6915c041ed408b24faca2db476c34a62e,1395656143064,1395656142961,103,37.5123,-6.02722,1024,8,3145728,"PARROT S.A."
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395657738526,1395656217570,1520956,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,349c525b5ebc9f9b783eff4f2a65399e6ad12fc5,1395656241810,1395656241708,102,37.5123,-6.02722,1024,4,2097152,"PARROT S.A."
1388396196672,dd0380dfdd1600b86138d2d82bb9267a466cc31c,1395656277508,1395656277405,103,37.5123,-6.02722,512,4,5898240,null
1388396196672,90ce153a5c258cb1f19b1b760a1b69f7a10bb163,1395657252794,1395657241190,11604,37.5123,-6.02722,512,4,5373952,"Nokia Danmark A/S"
1388396196672,90ce153a5c258cb1f19b1b760a1b69f7a10bb163,1395657785643,1395657597116,188527,37.5123,-6.02722,512,4,5373952,"Nokia Danmark A/S"
1388396196672,dd0380dfdd1600b86138d2d82bb9267a466cc31c,1395657715553,1395657715450,103,37.5123,-6.02722,512,4,5898240,null
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395657909561,1395657847433,62128,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395658009517,1395658009414,103,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,90ce153a5c258cb1f19b1b760a1b69f7a10bb163,1395658021066,1395658020963,103,37.5123,-6.02722,512,4,5373952,"Nokia Danmark A/S"
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395658180796,1395658082957,97839,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,dd0380dfdd1600b86138d2d82bb9267a466cc31c,1395658169297,1395658169194,103,37.5123,-6.02722,512,4,5898240,null
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395658317182,1395658255153,62029,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395658466521,1395658454904,11617,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,51b7fa260c0c4d161677b79101e9072273e989a7,1395658553676,1395658553574,102,37.5123,-6.02722,512,4,5898240,"Nokia Corporation"
1388396196672,dd0380dfdd1600b86138d2d82bb9267a466cc31c,1395658627259,1395658615656,11603,37.5123,-6.02722,512,4,5898240,null
