idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1351672500995,cf42c44da44a38737612bd6dae454cb320397dce,1395791567593,1395791567475,118,37.1773,-3.59856,1024,4,2097152,"PARROT S.A."
1351672500995,f851839fda38eb7cff3156f578ea7f6cd5ccf54a,1395791591588,1395791591482,106,37.1773,-3.59856,7936,0,0,"Bluegiga Technologies OY"
1351672500995,2247c761cf8db997c09852bd79b547aab333cea6,1395791591589,1395791591483,106,37.1773,-3.59856,1024,8,3145728,"Parrot SA"
1351672500995,56703299263f1f4ac7fc9ce8bd6793983074766d,1395791591589,1395791591484,105,37.1773,-3.59856,7936,0,0,"Bluegiga Technologies OY"
1351672500995,6b97db9e8fe275d4849845b60f219941ff9320f2,1395791678298,1395791678190,108,37.1773,-3.59856,1024,8,3407872,NULL
1351672500995,29f4597a5c25165fc7c6d1988598c4cbccfa3fce,1395791751388,1395791739789,11599,37.1773,-3.59856,1024,8,2097152,PRIVATE
1351672500995,a7006c1629773dae85140e46bc93735712fe2ac8,1395792139238,1395792139136,102,37.1773,-3.59856,1024,8,3145728,"Parrot SA"
1351672500995,cd9659ee9ba7a7999a5979e4de7cf36859460736,1395792226118,1395792226016,102,37.1773,-3.59856,512,4,5373952,null
1351672500995,cafd09f9de0e38cd3037711b1d7d4f92012dd602,1395792287772,1395792287667,105,37.1773,-3.59856,512,4,5898240,"Nokia Danmark A/S"
1351672500995,cec076afd7bc0c360e82dc83fa8bd16ad4d8088d,1395792287772,1395792287668,104,37.1773,-3.59856,1024,8,2097152,PRIVATE
1351672500995,bbdb5662e0fff63bb77b9ca039421383c8dee917,1395792361927,1395792361825,102,37.1773,-3.59856,1024,4,2097152,"PARROT S.A."
1351672500995,42b8ed45d22d6a0acaaee5a48b3e853eb63508c8,1395792385932,1395792385829,103,37.1773,-3.59856,1024,8,3145728,"Parrot SA"
1351672500995,0e6de7bfeac1acf56d9ef2c3a660244c1e0671f6,1395792510414,1395792510309,105,37.1773,-3.59856,1024,8,2097152,"PARROT S.A."
1351672500995,a53a8fd8837f5e701ac56de969dcb414b0e191c4,1395792510414,1395792510311,103,37.1773,-3.59856,1024,8,3145728,null
1351672500995,b3ddf6d0d5208c477e0b8f3d7ba265060dcb07cb,1395792546941,1395792546836,105,37.1773,-3.59856,1024,8,3145728,"Parrot SA"
1351672500995,48672a5c169b2c29b337455f153713110673786a,1395792546942,1395792546838,104,37.1773,-3.59856,1024,8,2621440,TomTom
1351672500995,a8539e8da4c3213a8e108cc539282339f2165686,1395792696480,1395792696377,103,37.1773,-3.59856,1024,4,2097152,"Cambridge Silicon Radio"
1351672500995,3536ed05dcc0e88bf4fe6ec99236572bcf593b16,1395792946309,1395792946206,103,37.1773,-3.59856,1024,8,2097152,"Garmin International"
1351672500995,829a18450d474e6c97f62509eac0d9ca3b128392,1395793007952,1395793007845,107,37.1773,-3.59856,1024,8,2097152,TomTom
1351672500995,6d16b7a110a8ccca96fbbc070a75ca0885b26f5a,1395793007953,1395793007846,107,37.1773,-3.59856,1024,8,3145728,"PARROT S.A."
1351672500995,5ee39a15049206481bbbe3f669e710ed51df5454,1395793007953,1395793007847,106,37.1773,-3.59856,512,4,5898240,null
1351672500995,d3d9239133013f423fe85e5ab165e0fe9b5d4c95,1395793019491,1395793019386,105,37.1773,-3.59856,512,4,5898240,null
