idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1351672370785,56703299263f1f4ac7fc9ce8bd6793983074766d,1395791659682,1395791648093,11589,37.1773,-3.59856,7936,0,0,"Bluegiga Technologies OY"
1351672370785,2247c761cf8db997c09852bd79b547aab333cea6,1395791659681,1395791659573,108,37.1773,-3.59856,1024,8,3145728,"Parrot SA"
1351672370785,f851839fda38eb7cff3156f578ea7f6cd5ccf54a,1395791659681,1395791659574,107,37.1773,-3.59856,7936,0,0,"Bluegiga Technologies OY"
1351672370785,2f94bcdfec669f303128074e82a6bbad784b21bc,1395791659682,1395791659576,106,37.1773,-3.59856,512,4,5898240,null
1351672370785,4596c86b8999cdab89f3f241babbb94bcc4eb6cc,1395791671139,1395791671031,108,37.1773,-3.59856,512,4,5898240,null
1351672370785,9a3b9d22d1465dc40455de6387c6736f53f19ab6,1395791671139,1395791671032,107,37.1773,-3.59856,1024,8,2359296,"Parrot SA"
1351672370785,29f4597a5c25165fc7c6d1988598c4cbccfa3fce,1395791671139,1395791671034,105,37.1773,-3.59856,1024,8,2097152,PRIVATE
1351672370785,ab4dfa8aeaaba8e54b46235ec331151b633cf4ef,1395791808182,1395791808073,109,37.1773,-3.59856,512,4,5898240,"Nokia Corporation"
1351672370785,a948a95a81aeb57517062f2983e5884a6654ae07,1395791808182,1395791808074,108,37.1773,-3.59856,7936,0,0,"Bluegiga Technologies OY"
1351672370785,b3af01afd5c508b393cc9aac91de47de1df1f463,1395791808182,1395791808075,107,37.1773,-3.59856,1024,8,3145728,"Parrot SA"
1351672370785,68177067e69272b7ebe0807629b11431f8eb16f0,1395791808182,1395791808077,105,37.1773,-3.59856,7936,0,0,"Bluegiga Technologies OY"
1351672370785,d4e3a336e7870861d5c77308e22ca530cb5f6699,1395791932540,1395791932437,103,37.1773,-3.59856,1024,8,3145728,"Parrot SA"
1351672370785,5e51ee152ec42f4c8732099391120ee983816a8f,1395791944025,1395791943922,103,37.1773,-3.59856,1024,4,2359296,"BILLIONTON SYSTEMS INC."
1351672370785,cd9659ee9ba7a7999a5979e4de7cf36859460736,1395792294492,1395792294390,102,37.1773,-3.59856,512,4,5373952,null
1351672370785,f97b65498fa5cb2e22876df12d9504a8a5416dd6,1395792305981,1395792305878,103,37.1773,-3.59856,512,12,5898240,"Nokia Danmark A/S"
1351672370785,84d8f9b6a926dd93d601403074df1a8f3175f3ac,1395792355094,1395792354988,106,37.1773,-3.59856,512,4,5898240,"Nokia Corporation"
1351672370785,2a5503dc5ef2d33b19d6681fc5724a133cf19e75,1395792355094,1395792354989,105,37.1773,-3.59856,512,4,5898240,NULL
1351672370785,cec076afd7bc0c360e82dc83fa8bd16ad4d8088d,1395792355095,1395792354990,105,37.1773,-3.59856,1024,8,2097152,PRIVATE
1351672370785,8fc13d962409f083c9cb02ec1be78b05c4124748,1395792379120,1395792379017,103,37.1773,-3.59856,7936,0,0,TomTom
