idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1388397331212,488b1d5012726f50c1fe195c977d7b4006b18c2e,1395619707906,1395619707804,102,37.4816,-5.97881,1024,8,2097152,"TEMIC SDS GmbH"
1388397331212,e9a742ae88bfc4a2d51a4d4e46ecf0c02f1c5e3f,1395619832442,1395619832341,101,37.4816,-5.97881,512,12,5767168,null
1388397331212,c275c17f64ceb7d3d7f06582899dafadd9ce4634,1395622583544,1395622583442,102,37.4816,-5.97881,512,12,7995392,RIM
1388397331212,1cd4e3d834319ee9968c6c1a90a289322468b37c,1395627320554,1395627320452,102,37.4816,-5.97881,512,4,5898240,"Nokia Corporation"
1388397331212,6f1f6add99b4bbbb4ab129e92a896fa2d94eeeed,1395630790670,1395630790568,102,37.4816,-5.97881,1024,8,3145728,"PARROT S.A."
1388397331212,13929737090f5a8886624dcb7e19fd91becff212,1395634570409,1395634570307,102,37.4816,-5.97881,1024,8,2097152,"Parrot SA"
1388397331212,acc773c2f423451830db3382f475559cc81c1fb4,1395634695351,1395634695249,102,37.4816,-5.97881,512,4,5898240,null
1388397331212,43247f68d4886c5ec4ef2a5487292af14886a904,1395634907499,1395634907397,102,37.4816,-5.97881,1024,8,2359296,"Nokia Danmark A/S"
1388397331212,64fcd2e01fdb1cc6d47a93129451f6fbf2e3ea92,1395635609843,1395635609742,101,37.4816,-5.97881,1024,8,3145728,"PARROT S.A."
1388397331212,e94c5392f76b81d334bd10e1224f1732bb97aba6,1395635671523,1395635671421,102,37.4816,-5.97881,512,4,5898240,"Nokia Corporation"
1388397331212,612d08f47ce9cdb20dcb3eb70ddc85a8cfb8e07a,1395636173690,1395636173589,101,37.4816,-5.97881,1024,8,2097152,"Parrot SA"
1388397331212,a11069b2da307de4246b547674308ce5e947c209,1395636414111,1395636414009,102,37.4816,-5.97881,1024,8,3145728,"PARROT S.A."
1388397331212,11bfd87cbf4d4422d0dd972cd569d983f8d0abad,1395636563574,1395636563472,102,37.4816,-5.97881,1024,4,2097152,"PARROT S.A."
1388397331212,f56346517b9fe37fa839468f4055114e4f85a708,1395636807959,1395636807857,102,37.4816,-5.97881,1024,8,3145728,"Parrot SA"
1388397331212,0d8fc8e81ab40afff81dbff6190206fe801fd6f0,1395637447331,1395637447230,101,37.4816,-5.97881,1024,4,2097152,"PARROT S.A."
1388397331212,1666002ece50be211363d893d62aa6be8e0d424f,1395638351440,1395638351339,101,37.4816,-5.97881,1024,8,2097152,"TEMIC SDS GmbH"
1388397331212,2d8890c2ace774cbdc413b9d7479c8147a5f780c,1395639097170,1395639097069,101,37.4816,-5.97881,1024,8,2097152,"PARROT S.A."
1388397331212,57b4d428ad8a12727a7d602f0e4077cb9c2260b2,1395639158857,1395639158755,102,37.4816,-5.97881,1024,4,2097152,"PARROT S.A."
1388397331212,c55230ab17b15aa875509de0b493f01da4ddb093,1395639220517,1395639220415,102,37.4816,-5.97881,1024,8,3407872,"PIONEER CORPORATION"
1388397331212,bcfff676e43eecc328ab7fae59cbd7abf3df6cef,1395639622530,1395639622429,101,37.4816,-5.97881,1024,8,2097152,"NUERA COMMUNICATIONS INC."
1388397331212,bd8198057ab096864d0d9b4e9c7b8e090268892c,1395639659090,1395639658988,102,37.4816,-5.97881,1024,8,2359296,"Nokia Danmark A/S"
1388397331212,c1481ac62c49f19f25dbbe57edfffe9c123780e7,1395641103019,1395641102917,102,37.4816,-5.97881,512,4,5373952,"Samsung Electronics Co.LTD"
1388397331212,7ff73609864255a7b046e36911a31da806111dd1,1395641429914,1395641429812,102,37.4816,-5.97881,1536,128,262144,"CC&C Technologies Inc."
1388397331212,08c73a49f96799bf59d65068411218094e9ab6bf,1395641429914,1395641429812,102,37.4816,-5.97881,512,4,5898240,null
1388397331212,7e448200565fda3d5716ec284c2d5b59b676aac6,1395641742975,1395641742874,101,37.4816,-5.97881,512,4,5898240,"LG Electronics Inc"
1388397331212,8a2ad84391b0ba4e5b3fae9242bfd89b70d6242e,1395641792134,1395641792033,101,37.4816,-5.97881,1024,8,2097152,"TEMIC SDS GmbH"
