idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1388397145518,6076bddae8a8d0184c228cfb6ab52b23bef6c3fb,1395644966751,1395644966649,102,37.4511,-5.95452,512,12,5767168,null
1388397145518,2483409aa57ec2206cbcd443e6dfbd721b8c66f7,1395646032545,1395646032443,102,37.4511,-5.95452,1024,8,3407872,"Infineon AG"
1388397145518,ea706ffa52c361cbadb1b7a95e7b76068a85c760,1395646446829,1395646446728,101,37.4511,-5.95452,512,12,5898240,"Nokia Corporation"
1388397145518,a1ca283107f03aeae76581e59acbbecc9cd09804,1395647376284,1395647376181,103,37.4511,-5.95452,512,12,5767168,null
1388397145518,c41980dddce28394a1933662dbf2fd6565fc986f,1395652117651,1395652117549,102,37.4511,-5.95452,1024,8,3407872,"Infineon AG"
1388397145518,7531eda259410fd42f19a199a8cdff525d577048,1395654018500,1395654018398,102,37.4511,-5.95452,1024,8,2359296,"PARROT S.A."
1388397145518,124fb7a5f996acbd20fe30cc1332c3d47ab85185,1395656816763,1395656816662,101,37.4511,-5.95452,512,4,5373952,null
1388397145518,f62545d6c80fdbd20ec37f7eaf8013a16836314a,1395657632245,1395657632142,103,37.4511,-5.95452,512,4,5898240,null
1388397145518,efd38a1f4533e6b178688fba9e3b1687df0de061,1395657643697,1395657632143,11554,37.4511,-5.95452,1024,8,2621440,TomTom
1388397145518,081d7d55237805d50fb82701bc983d90953f7502,1395658019051,1395658018949,102,37.4511,-5.95452,1024,4,7340032,"EuroCB (Phils.) Inc."
1388397145518,a2f28009842cc238414dc2cdc3d58c9c9c61311f,1395658526004,1395658525903,101,37.4511,-5.95452,512,4,5898240,"LG Electronics Inc"
1388397145518,4f1c8292f6c15128d99b7c0adacfc404e9811e14,1395658964395,1395658964294,101,37.4511,-5.95452,1024,8,3145728,"Ericsson Group"
1388397145518,bbf9c8cf0d9b18a96765c17c3db17555ff32e765,1395659429002,1395659428900,102,37.4511,-5.95452,1024,8,2621440,TomTom
1388397145518,6aba926953e9cda3e545d6643c31486aade916be,1395659465562,1395659465460,102,37.4511,-5.95452,256,0,0,"TULIP COMPUTERS INTERNAT'L B.V"
1388397145518,638153e94632b0230c5cdebab752c2e858958837,1395660016576,1395660016475,101,37.4511,-5.95452,1024,8,2097152,"Parrot SA"
1388397145518,511463b5497a7f06403c10901d0b689d9178d4cc,1395660078177,1395660078076,101,37.4511,-5.95452,1024,8,3145728,"PARROT S.A."
1388397145518,a8c53b89a843ce779deec6fd9d58f0f93f9dea02,1395661332644,1395661332542,102,37.4511,-5.95452,1024,8,3407872,"Infineon AG"
1388397145518,93ee8b27d76398e6a1ed69bd545b7c5efb208f5e,1395662121989,1395662121887,102,37.4511,-5.95452,1024,8,2359296,"novero GmbH"
1388397145518,3f45fcb0a48b124a51d68e3d0f8b678d004b2335,1395662962576,1395662962474,102,37.4511,-5.95452,512,4,5898240,"Samsung Electronics Co.Ltd"
1388397145518,d4eab9cea0ed157dde68d562669f370e53ada8cd,1395663463044,1395663462942,102,37.4511,-5.95452,1024,4,2097152,"PARROT S.A."
1388397145518,6771b92c1ebd9efb230ca854a32c7fa39a7c7d06,1395666062000,1395666061898,102,37.4511,-5.95452,1024,8,3407872,"Infineon AG"
1388397145518,845f0bde4bf1f7a0a20ca138664987b34b3a2d68,1395666073460,1395666073359,101,37.4511,-5.95452,512,12,7995392,RIM
1388397145518,dd3698f64ebd929ab021c3ed72edb7cee3e65d39,1395666825137,1395666813514,11623,37.4511,-5.95452,7936,0,0,"J Communications Co. Ltd."
1388397145518,dd3698f64ebd929ab021c3ed72edb7cee3e65d39,1395669018194,1395668972196,45998,37.4511,-5.95452,7936,0,0,"J Communications Co. Ltd."
1388397145518,485b1da26fbb7f002246ef39e7cbcc8326e4f427,1395673822368,1395673822266,102,37.4511,-5.95452,1024,8,3145728,"Parrot SA"
1388397145518,9047036d7ac8296f40eca1760b3be7123da52f79,1395675328403,1395675328302,101,37.4511,-5.95452,512,4,5898240,null
1388397145518,4154c9dedc58c9a8ca75e07f69d8b617cc6e2b3a,1395676030833,1395676030731,102,37.4511,-5.95452,1024,8,3145728,"Parrot SA"
1388397145518,6a8f7a0186da0cb0a96cc1f7555b079ffcdd87b5,1395678364395,1395678364293,102,37.4511,-5.95452,512,4,5898240,null
1388397145518,f8e98036af43e845adb61f3e3eec3292f9bbfab3,1395679040745,1395679040643,102,37.4511,-5.95452,1024,4,6553600,"Towa Meccs Corporation"
1388397145518,7f703de9722e4a9ecbcd1ec74c067468afbcb47e,1395680370466,1395680370364,102,37.4511,-5.95452,1024,8,3407872,"Infineon AG"
1388397145518,dd3698f64ebd929ab021c3ed72edb7cee3e65d39,1395681760220,1395681712058,48162,37.4511,-5.95452,7936,0,0,"J Communications Co. Ltd."
1388397145518,0b1d92c05f7a67bb9b045e53189915b02835d2bf,1395683165647,1395683165545,102,37.4511,-5.95452,512,4,5898240,"Nokia Danmark A/S"
1388397145518,30ba91742f9b23da991650cb3f6809d416c1db5c,1395684535595,1395684523998,11597,37.4511,-5.95452,1024,8,2097152,"Philips Consumer Communications"
