idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1388397600522,da49995bd6fee5423283a3b02d650153a7bf5f38,1395615665065,1395615644079,20986,37.5509,-5.86955,null,null,null,null
1388397600522,629c26cb5af628a8db55a4408bf52fda5bafa49d,1395616082736,1395615722506,360230,37.5509,-5.86955,null,null,null,null
1388397600522,360275eeb67e42cbf168ecf27982bf85c6452e7d,1395616070886,1395615753590,317296,37.5509,-5.86955,null,null,null,null
1388397600522,206804c85e2a8fbf07fbfcdd974368d0eeabf50f,1395615917628,1395615917628,0,37.5509,-5.86955,null,null,null,null
1388397600522,b45331558a6136a49a1a40c2ebcc2622f20836aa,1395615938087,1395615938087,0,37.5509,-5.86955,null,null,null,null
1388397600522,12c0647bc8c09f09906baed30c3df2cd0e059902,1395616023620,1395616023620,0,37.5509,-5.86955,null,null,null,null
1388397600522,e3a9ae936acf3bb270969840a46b46ae4df3e651,1395616064270,1395616064270,0,37.5509,-5.86955,null,null,null,null
1388397600522,67e872f2fd482232f219b32f59d71ba99a622938,1395616065694,1395616065694,0,37.5509,-5.86955,null,null,null,null
1388397600522,b22685387961427bf5f706c4595b1b72865a15d8,1395616800473,1395616231351,569122,37.5509,-5.86955,null,null,null,null
1388397600522,aae54edc6de8b281a76187e76bafe38121dabae2,1395616432943,1395616432943,0,37.5509,-5.86955,null,null,null,null
1388397600522,09beabeb4ecc862eea51ee644f47cdf03147633c,1395616450384,1395616450383,1,37.5509,-5.86955,null,null,null,null
1388397600522,9d1aac504fcf972862679bf05eab075ecd123b46,1395616524411,1395616524410,1,37.5509,-5.86955,null,null,null,null
1388397600522,8fec0a430732d1bfa0e1e57afb5c52c08c45e7b7,1395616648711,1395616648711,0,37.5509,-5.86955,null,null,null,null
1388397600522,b4463fc13cb06524c2819b2ab20bfba0f110c9f0,1395616795196,1395616795195,1,37.5509,-5.86955,null,null,null,null
1388397600522,2f50c7d4ea3e7296cfd11afa77e452557554d150,1395616888288,1395616888287,1,37.5509,-5.86955,null,null,null,null
1388397600522,99da4c9d1d0c29fe5d9e6730d7d03ed2a5a96efc,1395617640106,1395617640105,1,37.5509,-5.86955,null,null,null,null
1388397600522,b28b795208e7b0ba98ed399ab15b3d1bcafce641,1395617835784,1395617822711,13073,37.5509,-5.86955,null,null,null,null
1388397600522,3a2842aa52401dbf7521eb0eaabdbfbbde01568c,1395617835435,1395617826948,8487,37.5509,-5.86955,null,null,null,null
1388397600522,360275eeb67e42cbf168ecf27982bf85c6452e7d,1395618386795,1395617948419,438376,37.5509,-5.86955,null,null,null,null
1388397600522,d21154ecf22732173030e461425e934ec3669047,1395618040236,1395618021777,18459,37.5509,-5.86955,null,null,null,null
1388397600522,8a9fbba9882b767203ae625f1e771694926175b3,1395619030243,1395618790135,240108,37.5509,-5.86955,null,null,null,null
1388397600522,516cd547e148a98ce63ae2b2f175f326300fcf9a,1395619042823,1395619042823,0,37.5509,-5.86955,null,null,null,null
1388397600522,847644055e89631523ba3dea560dc8c34234bd7c,1395619246654,1395619246654,0,37.5509,-5.86955,null,null,null,null
1388397600522,708222c7b68c72b4abc97e077d3c35743dd67a5c,1395619326541,1395619326541,0,37.5509,-5.86955,null,null,null,null
1388397600522,0f5ba388b27f5d04852ed2e2d1946a1828df69f6,1395619460354,1395619460353,1,37.5509,-5.86955,null,null,null,null
1388397600522,40e54dfc87f805d69e0bd0a257a5416d3ee99720,1395619512642,1395619512642,0,37.5509,-5.86955,null,null,null,null
1388397600522,a242b8adf62124f68c8ae436d8d5462559622922,1395619534026,1395619534026,0,37.5509,-5.86955,null,null,null,null
1388397600522,e6c4f436608aba8092c35c5792235406f3cb01e7,1395619802260,1395619789492,12768,37.5509,-5.86955,null,null,null,null
1388397600522,629c26cb5af628a8db55a4408bf52fda5bafa49d,1395623699073,1395619820142,3878931,37.5509,-5.86955,null,null,null,null
1388397600522,61dce0c859284685b8c330c177bbc3672bcdf34c,1395620534884,1395620001745,533139,37.5509,-5.86955,null,null,null,null
1388397600522,3a2842aa52401dbf7521eb0eaabdbfbbde01568c,1395620265998,1395620265998,0,37.5509,-5.86955,null,null,null,null
1388397600522,8f4d38a8812bb2e8d84d3a986ed98f101d03fa1b,1395620370257,1395620370256,1,37.5509,-5.86955,null,null,null,null
1388397600522,d6e10c2f79ad91f90534338bcca1b3e019aba7aa,1395620416981,1395620416980,1,37.5509,-5.86955,null,null,null,null
1388397600522,64f8aa5401aa8b3ed26e37dfd3fa158a8ade8e5a,1395620671341,1395620671341,0,37.5509,-5.86955,null,null,null,null
1388397600522,8a9fbba9882b767203ae625f1e771694926175b3,1395620684750,1395620684749,1,37.5509,-5.86955,null,null,null,null
1388397600522,55f2c9c2d680e6670514e407c91fd7ab2a899411,1395621050855,1395620775998,274857,37.5509,-5.86955,null,null,null,null
1388397600522,f97135144d5a40e70740a0a1d46d3bdb7bf42ce2,1395621697269,1395621697268,1,37.5509,-5.86955,null,null,null,null
1388397600522,e8503bef1132e0cdf6d8e67b58814d476d66f9c7,1395621723441,1395621723440,1,37.5509,-5.86955,null,null,null,null
1388397600522,8c8c2f560c4fd511dd66790f18a216bf22a44b5a,1395623304133,1395623140083,164050,37.5509,-5.86955,null,null,null,null
1388397600522,e3a9ae936acf3bb270969840a46b46ae4df3e651,1395623257173,1395623257173,0,37.5509,-5.86955,null,null,null,null
1388397600522,1af380b6640d84133b462492a00ed4bc37fc686a,1395625894454,1395625894453,1,37.5509,-5.86955,null,null,null,null
1388397600522,6d7e1cc71f525580a9c8e675dea0084077ec5360,1395630422502,1395625963970,4458532,37.5509,-5.86955,null,null,null,null
1388397600522,9976f61c66be7d23d6739a97625b53e50cfdf152,1395628553832,1395626423668,2130164,37.5509,-5.86955,null,null,null,null
1388397600522,e3a9ae936acf3bb270969840a46b46ae4df3e651,1395626864392,1395626864391,1,37.5509,-5.86955,null,null,null,null
1388397600522,01f0b89390ba069828aafc572fb4988f25dc5f5b,1395628833281,1395628823143,10138,37.5509,-5.86955,null,null,null,null
1388397600522,e66cb6e1a0991c8f7efdc4a4013572e46c4dd862,1395629397516,1395629397515,1,37.5509,-5.86955,null,null,null,null
1388397600522,1ff4299e14cb4f6b8f01f0d09f09a4917c990bd0,1395629917320,1395629917320,0,37.5509,-5.86955,null,null,null,null
1388397600522,9426135ae810cdd1c7d654bea3edd820f89bb2b7,1395630066254,1395630066253,1,37.5509,-5.86955,null,null,null,null
1388397600522,e3a9ae936acf3bb270969840a46b46ae4df3e651,1395630416952,1395630416952,0,37.5509,-5.86955,null,null,null,null
1388397600522,7d9fa5474a204ae68d63a207d77106e1986b6e03,1395631285897,1395631246054,39843,37.5509,-5.86955,null,null,null,null
1388397600522,6d7e1cc71f525580a9c8e675dea0084077ec5360,1395631344916,1395631246313,98603,37.5509,-5.86955,null,null,null,null
1388397600522,1ff4299e14cb4f6b8f01f0d09f09a4917c990bd0,1395631342797,1395631342796,1,37.5509,-5.86955,null,null,null,null
1388397600522,43c6a7f0cc3c301410c9dc3e2dd60016f5e0fe3c,1395632549972,1395632549972,0,37.5509,-5.86955,null,null,null,null
1388397600522,6d7e1cc71f525580a9c8e675dea0084077ec5360,1395632564163,1395632564162,1,37.5509,-5.86955,null,null,null,null
1388397600522,040660cd3b432dd4a9966e06fc939f1680a0496e,1395633572733,1395633555050,17683,37.5509,-5.86955,null,null,null,null
1388397600522,6d7e1cc71f525580a9c8e675dea0084077ec5360,1395648642810,1395633563509,15079301,37.5509,-5.86955,null,null,null,null
1388397600522,e3a9ae936acf3bb270969840a46b46ae4df3e651,1395634096873,1395634096872,1,37.5509,-5.86955,null,null,null,null
1388397600522,1f158c4d6c0a9805e0ecfcf794692deea4ba925e,1395634253451,1395634253450,1,37.5509,-5.86955,null,null,null,null
1388397600522,d3348404ffc4e8843c38c8ba487d73bc09d1bcc7,1395634965228,1395634965227,1,37.5509,-5.86955,null,null,null,null
1388397600522,9cfc2fa0e06aa7b263d3c5b233bb7ab294f29b9d,1395634997215,1395634997215,0,37.5509,-5.86955,null,null,null,null
1388397600522,5c5333f7de13721ad21e774ab628c7d60c62a2b8,1395635689365,1395635689365,0,37.5509,-5.86955,null,null,null,null
1388397600522,67e872f2fd482232f219b32f59d71ba99a622938,1395636969332,1395635694048,1275284,37.5509,-5.86955,null,null,null,null
1388397600522,d4428315fc6ad61a0052446c5f89c5453b5f06de,1395635725034,1395635710023,15011,37.5509,-5.86955,null,null,null,null
1388397600522,d54534ae871a2462a8f183799ce35a4a707340a1,1395635996815,1395635996815,0,37.5509,-5.86955,null,null,null,null
