idNodo,idDispositivo,tfin tinicio,tdiferencia,latitud,longitud,majordeviceclass,minordeviceclass,serviceclass,fabricante
1388398517822,c0e416732cc7f3cc956b461836d22e1845786d77,1395615926011,1395615926011,0,37.4817,-5.97881,null,null,null,null
1388398517822,9ab03ff5bb5afdf4decfd24bf9b6cb65f4d028c3,1395616617542,1395616617542,0,37.4817,-5.97881,null,null,null,null
1388398517822,8fb92baa5a54355b82dd281a9d640f6563356fee,1395618055801,1395618055800,1,37.4817,-5.97881,null,null,null,null
1388398517822,4a6186a36c81f0dc02c088f279c1ce520c02a704,1395618157870,1395618157869,1,37.4817,-5.97881,null,null,null,null
1388398517822,de01baa077e7a275cdcdf5a957bab2a1d7220a3e,1395619025299,1395619025299,0,37.4817,-5.97881,null,null,null,null
1388398517822,cfbfc950226fb4ead84ecedee697687a13057232,1395619462582,1395619462582,0,37.4817,-5.97881,null,null,null,null
1388398517822,deeee126b294d63f68fc440135d0bf0288c0b469,1395619689046,1395619689046,0,37.4817,-5.97881,null,null,null,null
1388398517822,fc86ce470ab2bcbaad4caf2e7b210106faf4dc1a,1395621152235,1395620547825,604410,37.4817,-5.97881,null,null,null,null
1388398517822,de01baa077e7a275cdcdf5a957bab2a1d7220a3e,1395620671952,1395620671951,1,37.4817,-5.97881,null,null,null,null
1388398517822,fde05c7f7d87daa10973c61097cb8ce61eef5506,1395622580449,1395622580449,0,37.4817,-5.97881,null,null,null,null
1388398517822,eeff754019e2c717feccf8304314d3b226073085,1395626483398,1395626483398,0,37.4817,-5.97881,null,null,null,null
1388398517822,589b1ec9bafa72c03bac47348a9cf4281ed274a0,1395629106276,1395629106276,0,37.4817,-5.97881,null,null,null,null
1388398517822,8699f849abadbb5ee3fd4812525241dd41a04df0,1395634175185,1395634175185,0,37.4817,-5.97881,null,null,null,null
1388398517822,e591421ec515c1daef96b13114aac177b7ce4bd4,1395634371421,1395634371421,0,37.4817,-5.97881,null,null,null,null
1388398517822,2a707c851c160720bc8951b6956c5ca8362f8181,1395634514210,1395634514209,1,37.4817,-5.97881,null,null,null,null
1388398517822,97cd6de02a789e82ddd12a58d532e85e079f4756,1395635321545,1395635321544,1,37.4817,-5.97881,null,null,null,null
1388398517822,9bd5531b6f1c7e0b1ac3c290bf0fad3a038fc342,1395635708049,1395635708048,1,37.4817,-5.97881,null,null,null,null
1388398517822,1080808e78f30d752f9fcb2e2423f9a263ad35ad,1395636286038,1395636286037,1,37.4817,-5.97881,null,null,null,null
1388398517822,ff51b69eb6768ceddae49b19178f3da89042568a,1395636416383,1395636416382,1,37.4817,-5.97881,null,null,null,null
1388398517822,d5cb7ee670ecfcb4958270ddb5a616033487efea,1395637599262,1395637599262,0,37.4817,-5.97881,null,null,null,null
1388398517822,fe1b5ac28eaec5965fb10ff488442bbeac164097,1395638063219,1395638063218,1,37.4817,-5.97881,null,null,null,null
1388398517822,c04319af5b870d2629520d0650936f8739caa0fa,1395638930827,1395638930827,0,37.4817,-5.97881,null,null,null,null
1388398517822,dd36003573231e1586168f788deff6ccde2bb1fe,1395639009806,1395639009806,0,37.4817,-5.97881,null,null,null,null
1388398517822,cb7cdd8ddfced95c18412ce2e3c18452f36b645b,1395639215362,1395639215362,0,37.4817,-5.97881,null,null,null,null
1388398517822,21c7b1d547eb983b2fc46c27d1aa6d83152f37a8,1395639485858,1395639485858,0,37.4817,-5.97881,null,null,null,null
1388398517822,0dde9f1bc55b5e9258c72b39a81edd799713a834,1395639885509,1395639885509,0,37.4817,-5.97881,null,null,null,null
1388398517822,e5ea4dfc634328e5159b5028d2fea67a6111ebb3,1395639934832,1395639934832,0,37.4817,-5.97881,null,null,null,null
1388398517822,0186b6c8aa5b956797c849e19ea00a55b07223d9,1395640639634,1395639947384,692250,37.4817,-5.97881,null,null,null,null
1388398517822,1d764a2f887fc3a251d0fec7a7b4f1dc48425cbb,1395639960678,1395639960677,1,37.4817,-5.97881,null,null,null,null
1388398517822,1271d93bc261cc32d415cdd8b9183f5ab02a1605,1395639971381,1395639971381,0,37.4817,-5.97881,null,null,null,null
1388398517822,fe1b5ac28eaec5965fb10ff488442bbeac164097,1395640022145,1395640022145,0,37.4817,-5.97881,null,null,null,null
1388398517822,54b3d0e1a2a999f015b9c07e8f19f59463f9108a,1395640236514,1395640236513,1,37.4817,-5.97881,null,null,null,null
1388398517822,8c468aa73c52e8808b5fff2c34a51021e675fc71,1395640748468,1395640748468,0,37.4817,-5.97881,null,null,null,null
1388398517822,9dba9dd959bc393982a431df0ed728aea17d99c4,1395640751147,1395640751147,0,37.4817,-5.97881,null,null,null,null
1388398517822,070ed97f1c54c477c873974c335141cf815b7fc7,1395640759466,1395640759466,0,37.4817,-5.97881,null,null,null,null
1388398517822,b0e26557e3b3dd9c5fb07f7c8461f26f8522713a,1395640801735,1395640801734,1,37.4817,-5.97881,null,null,null,null
1388398517822,643051a6b7437f7e835864e327737d420312083c,1395640865883,1395640865882,1,37.4817,-5.97881,null,null,null,null
1388398517822,b258efc78a4fb7616724e658768944b0c4d1733d,1395640984816,1395640984816,0,37.4817,-5.97881,null,null,null,null
1388398517822,f2cf0c0942b6e2dafe3454ba5110cff00f8f6748,1395641011091,1395641011090,1,37.4817,-5.97881,null,null,null,null
1388398517822,d7dabdd07da34d93e39cdc7a9855757c453c4e4a,1395641040404,1395641040404,0,37.4817,-5.97881,null,null,null,null
1388398517822,c5225676540f0a1c569ce8287df34ab6f57c89e2,1395641165532,1395641165531,1,37.4817,-5.97881,null,null,null,null
1388398517822,09902f9730162948dc34dda0e4d6cb2f1c57a3d4,1395641317092,1395641317092,0,37.4817,-5.97881,null,null,null,null
1388398517822,a110b3fe482582890d6191b60b2086675d010941,1395641406697,1395641406697,0,37.4817,-5.97881,null,null,null,null
1388398517822,21c7b1d547eb983b2fc46c27d1aa6d83152f37a8,1395641518502,1395641518501,1,37.4817,-5.97881,null,null,null,null
1388398517822,8ae4f7db22dbe767ef0940be714cc449ed6820f0,1395641598299,1395641598299,0,37.4817,-5.97881,null,null,null,null
1388398517822,254d58c73bfa4ec311241a247487664f3251b5e6,1395641684513,1395641673637,10876,37.4817,-5.97881,null,null,null,null
1388398517822,070ed97f1c54c477c873974c335141cf815b7fc7,1395641681552,1395641681552,0,37.4817,-5.97881,null,null,null,null
1388398517822,8fc4b6396ba711276012f9f4593d8a0faeda9668,1395641754948,1395641754948,0,37.4817,-5.97881,null,null,null,null
1388398517822,7ee876b31e185559c3b789f86de3334399f9e498,1395641767858,1395641767857,1,37.4817,-5.97881,null,null,null,null
1388398517822,d8c620d6fb8b38c2dca52cc654cbeba2c5151192,1395641816583,1395641816582,1,37.4817,-5.97881,null,null,null,null
1388398517822,a9671d91da70a1521035ed67b876b14b284fbd31,1395641828812,1395641828811,1,37.4817,-5.97881,null,null,null,null
1388398517822,c14fcfb4d3652f4a20ed7792c6a0ca15ed3f00cd,1395641853925,1395641853925,0,37.4817,-5.97881,null,null,null,null
1388398517822,8cc0aa26b3bea432f71be3a52181da38f674fe29,1395641940574,1395641940574,0,37.4817,-5.97881,null,null,null,null
1388398517822,dc3d9ba9fd0c1e47a13b850beafd3f7e242e20f1,1395641975282,1395641975281,1,37.4817,-5.97881,null,null,null,null
1388398517822,1271d93bc261cc32d415cdd8b9183f5ab02a1605,1395642008943,1395642008943,0,37.4817,-5.97881,null,null,null,null
1388398517822,5c79be4f6229a0d11c67f8113254b0e481ffc94e,1395642009377,1395642009376,1,37.4817,-5.97881,null,null,null,null
1388398517822,b84e5153b7fe364113ce64fd5735c9dbf210bc50,1395642013337,1395642013337,0,37.4817,-5.97881,null,null,null,null
