Tipo;Estación;Calzada;Carriles;Provincia;Población;Carretera;PK;Total;Moto;Lige;Bus;Camión;Pesa;Días
Peajes;CU-510-3;Total;2+2;CU;;A-43;158,52;2006;1270;8;1110;8;144;001
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2013;5152;32;3368;200;1504;000
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2012;4940;20;3008;220;1658;000
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2011;5255;22;3198;235;1762;000
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2010;5392;24;3334;188;1810;000
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2009;4409;20;2911;154;1298;0
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2008;2991;22;2072;152;172;0
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2007;3194;8;2330;28;828;1
Peajes;CU-511-3;Total;2+2;CU;;A-43;167,31;2006;1270;8;1110;8;144;001
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2013;4832;28;3112;188;1456;000
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2012;4940;20;3008;220;1658;000
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2011;5255;22;3198;235;1762;000
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2010;5392;24;3334;188;1810;000
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2009;4409;20;2911;154;1298;0
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2008;2981;0;2084;0;190;0
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2007;3194;8;2330;28;828;1
Peajes;CU-512-3;Total;2+2;CU;;A-43;172,45;2006;1270;8;1110;8;144;001
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2013;45729;276;36134;1790;7299;000
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2012;48178;192;38287;2140;7401;000
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2011;50848;154;40747;1502;8281;000
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2010;52574;208;42499;1332;8353;000
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2009;53447;210;43372;1358;8327;0
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2008;55638;249;44186;1377;3942;-7.28
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2007;58040;414;45544;375;11707;4.19
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2006;56411;402;44413;440;11156;2,36
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2005;54202;360;42514;482;10846;1,53
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2004;52625;326;41142;454;10703;001
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2003;48212;330;37612;400;9870;001
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2002;48210;0;37942;702;9566;4,69
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2001;45626;0;35818;670;9138;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;2000;43172;0;33676;650;8846;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1999;40838;0;31568;634;8636;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1998;37598;0;29064;584;7950;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1997;36220;0;27854;572;7794;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1996;33960;0;26422;516;7022;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1995;33806;0;26470;502;6834;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1994;33876;0;26864;480;6532;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1993;32994;0;26660;434;5900;365
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1992;32770;0;26446;432;5892;001
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1991;32588;0;26364;426;5798;001
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1990;32010;0;26024;410;5576;001
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1989;31346;0;25642;390;5314;001
Peajes;GI-501-3;Total;2+2;GI;HOSTALRICH;AP-7N;88,56;1988;28642;0;23830;328;4484;001
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2013;32100;194;29659;1256;961;000
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2012;33160;132;26421;1474;5025;000
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2011;35485;106;28419;1048;5798;000
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2010;37421;148;30163;948;6032;000
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2009;38589;152;31040;980;6281;0
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2008;42581;192;33392;1054;2979;0
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2007;46158;313;35913;308;9624;1
Peajes;GI-502-3;Total;2+2;GI;MASSANET;AP-7N;78,08;2006;42804;304;33440;334;8726;001
