;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;A-501-3 Calzada:;;;Total;;Carriles:;;2+2;Prov:;A
;;;;;;;Población:;;OLIVA;;;;Carretera:;;AP-7;PK:;604,36
;;;;;;;;;;;Denominación antigua:;;;;AP-7;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
2011;26883;80;23382;794;2577;3421;12.7;-5.35;-28.57;-5.6;10.28;-5.95;-2.81;000;0;;
2010;28402;112;24770;720;2740;3520;12.4;-3.72;-3.45;-3.62;-4;-4.56;-4.43;000;0;;
2009;29500;116;25701;750;2871;3683;12.5;-9.15;-60;-9.1;-52.14;5.01;-5.71;0;33;;
2008;32470;290;28274;1567;2734;3906;12.03;-8.97;13.73;-9.37;1096.18 -33.07;;-7.35;0;33;;
2007;35668;255;31197;131;4085;4216;11,82;2.08;2.82;2.5;-51.84;2.56;-0.92;1;66;;
2006;34940;248;30437;272;3983;4255;12,17;3,89;10,71;4,71;-8,72;-1,41;-1,91;001;66;;
2005;33629;224;29067;298;4040;4338;12,89;9,79;17,89;11,8;12,87;-3,27;-2,31;001;66;;
2004;30629;190;25998;264;4177;4441;14,49;15,49;5,55;14,62;20;21,42;21,33;001;66;;
2003;26520;180;22680;220;3440;3660;13,8;15,71;0;14,92;-21,98;18,53;14,94;001;66;;
2002;22918;0;19734;282;2902;3184;13,89;16,78;0;13,49;42,42;42,39;42,39;365;100;;
2001;19624;0;17388;198;2038;2236;11,39;0;0;0;0;0;0;365;100;;
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1999;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1998;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1997;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1996;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1995;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1993;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1992;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1991;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1990;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1989;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1988;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1987;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1986;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1985;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1984;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1982;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1981;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1980;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1979;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1978;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1977;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1976;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1975;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1974;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1973;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1972;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1971;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1970;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1969;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
;;;;;;;;;;;;;;;;13/06/2014;
;;;;;;;;;;;;EVOLUCIÓN HISTÓRICA DE UNA ESTACIÓN;;;;;
;;;;;;;Estación:;CU-509-3 Calzada:;;;Total;;Carriles:;;2+2;Prov:;CU
;;;;;;;Población:;;;;;;Carretera:;;A-43;PK:;152,30
;;;;;;;;;;;Denominación antigua:;;;;A-43;;
;;;;IMD;;;;;;% CRECIMIENTO;;;;;FUNCIONAMIENTO;;
;;;;;;;%;;;;;;;No;;Ref. Año;Grado
Año;Total;Moto;Lige;Bus;Camión;Pesa;Pesa;Total;Moto;Lige;Bus;Camión;Pesa;Días;%;Ant;Comarac
2013;5262;32;3336;206;1640;1894;36;6.52;57.14;10.9;-6.33;-1.08;-0.94;000;0;;
2012;4940;20;3008;220;1658;1912;38.7;-5.99;-9.09;-5.94;-6.38;-5.9;-6.04;000;0;;
2011;5255;22;3198;235;1762;2035;38.7;30.98;22.22;-15.58;67.86;2569.7;887.86;000;0;;
2010;4012;18;3788;140;66;206;5.1;-9;-10;30.13;-9.09;-94.92;-86.06;000;0;;
2009;4409;20;2911;154;1298;1478;33.5;47.41;-9.09;40.49;1.32;654.65;64.77;0;33;;
2008;2991;22;2072;152;172;897;29.99;-6.36;175;-11.07;442.86;-79.23;4.79;0;33;;
2007;3194;8;2330;28;828;856;26,8;151.5;0;109.91;250;475;463.16;1;66;;
2006;1270;8;1110;8;144;152;11,96;0;0;0;0;0;0;001;66;;
2005;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2004;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2003;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2002;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2001;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1999;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1998;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1997;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1996;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1995;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1993;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1992;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1991;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1990;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
1989;0;0;0;0;0;0;0;0;0;0;0;0;0;000;33;;
