Fecha,Origen,Destino,total,Diferencia,latitud_origen,longitud_origen,latitud_destino,longitud_destino
"2014-03-29 23:45:00",1351591800440,1351591868114,1,524.95700000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 23:45:00",1351672500995,1351591868114,1,100.09900000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 23:45:00",1388397600522,1388398577264,1,835.60700000,37.5509,-5.86955,37.4781,-5.95336
"2014-03-29 23:30:00",1351591868114,1351672500995,1,72.43800000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 23:30:00",1351591800440,1351591695721,1,412.19600000,37.1773,-3.59856,37.1829,-3.61411
"2014-03-29 23:15:00",1351591868114,1351672500995,2,65.68150000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 23:00:00",1351591868114,1351672500995,2,60.13300000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 23:00:00",1388398517822,1388398421885,1,370.49800000,37.4817,-5.97881,37.4514,-5.95452
"2014-03-29 22:45:00",1388398577264,1388398156925,1,744.48100000,37.4781,-5.95336,37.4675,-6.00769
"2014-03-29 22:45:00",1351591868114,1351672500995,1,54.13700000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 22:30:00",1388398577264,1388397600522,1,717.66700000,37.4781,-5.95336,37.5509,-5.86955
"2014-03-29 22:30:00",1351591868114,1351591800440,1,292.04000000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 22:30:00",1351672500995,1351591868114,1,78.13600000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 22:30:00",1351591868114,1351672500995,6,67.17016667,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 22:15:00",1388398577264,1388397600522,1,764.57800000,37.4781,-5.95336,37.5509,-5.86955
"2014-03-29 22:15:00",1351672500995,1351591868114,1,844.52800000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 22:15:00",1351591800440,1351672500995,1,368.53300000,37.1773,-3.59856,37.1773,-3.59856
"2014-03-29 22:15:00",1351591800440,1351591868114,1,297.25300000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 22:15:00",1351591868114,1351672500995,3,68.72800000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 22:15:00",1388397600522,1388398577264,1,856.46600000,37.5509,-5.86955,37.4781,-5.95336
"2014-03-29 22:00:00",1351672500995,1351591868114,1,84.80200000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 22:00:00",1351591868114,1351672500995,2,459.98850000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 21:45:00",1351591800440,1351591868114,1,264.00400000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 21:45:00",1351672500995,1351591800440,1,343.25200000,37.1773,-3.59856,37.1773,-3.59856
"2014-03-29 21:45:00",1388397916219,1388398156925,1,385.63700000,37.5123,-6.02725,37.4675,-6.00769
"2014-03-29 21:45:00",1351672500995,1351591868114,1,93.08900000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 21:45:00",1351591868114,1351591800440,1,250.16300000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 21:45:00",1351591800440,1351591695721,1,406.55900000,37.1773,-3.59856,37.1829,-3.61411
"2014-03-29 21:45:00",1351591868114,1351672500995,4,72.82150000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 21:30:00",1351672500995,1351591868114,3,96.61233333,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 21:30:00",1351591868114,1351672500995,3,61.52300000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 21:30:00",1388397600522,1388398577264,1,887.82200000,37.5509,-5.86955,37.4781,-5.95336
"2014-03-29 21:30:00",1388398577264,1388397600522,1,790.48000000,37.4781,-5.95336,37.5509,-5.86955
"2014-03-29 21:30:00",1388397916219,1388398156925,1,391.84700000,37.5123,-6.02725,37.4675,-6.00769
"2014-03-29 21:30:00",1388398577264,1388398517822,1,551.08900000,37.4781,-5.95336,37.4817,-5.97881
"2014-03-29 21:15:00",1388398577264,1388397600522,2,859.82250000,37.4781,-5.95336,37.5509,-5.86955
"2014-03-29 21:15:00",1351591868114,1351591800440,3,279.77766667,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 21:15:00",1351591868114,1351672500995,1,64.53200000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 21:15:00",1351672500995,1351591868114,6,119.70533333,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 21:15:00",1351672500995,1351591800440,1,425.49600000,37.1773,-3.59856,37.1773,-3.59856
"2014-03-29 21:00:00",1351672500995,1351591868114,1,103.73800000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 21:00:00",1388398577264,1388397600522,2,791.03150000,37.4781,-5.95336,37.5509,-5.86955
"2014-03-29 21:00:00",1351591868114,1351672500995,8,81.80475000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 20:45:00",1351591868114,1351672500995,6,72.22983333,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 20:45:00",1351672500995,1351591868114,3,101.50200000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 20:30:00",1351591800440,1351591868114,3,418.51433333,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 20:30:00",1351672500995,1351591800440,2,501.65150000,37.1773,-3.59856,37.1773,-3.59856
"2014-03-29 20:30:00",1351591868114,1351672500995,4,69.40550000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 20:30:00",1351672500995,1351591868114,2,117.72500000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 20:30:00",1351591868114,1351591800440,2,345.78450000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 20:30:00",1388397916219,1388398156925,1,425.85200000,37.5123,-6.02725,37.4675,-6.00769
"2014-03-29 20:15:00",1351672500995,1351591868114,4,97.63300000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 20:15:00",1351591868114,1351672500995,4,73.26175000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 20:15:00",1351591868114,1351591800440,1,701.16000000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 20:00:00",1388398156925,1388397916219,1,349.20200000,37.4675,-6.00769,37.5123,-6.02725
"2014-03-29 20:00:00",1351591800440,1351591868114,1,630.50800000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 20:00:00",1351591868114,1351591800440,1,288.58400000,37.1974,-3.63599,37.1773,-3.59856
"2014-03-29 20:00:00",1351672500995,1351591868114,3,286.76500000,37.1773,-3.59856,37.1974,-3.63599
"2014-03-29 20:00:00",1351591695721,1351591868114,1,829.36400000,37.1829,-3.61411,37.1974,-3.63599
